Lambda,MSE,testerror
1.0,3.5743534445036067,4.312468519253896
2.0,3.594575363431953,4.256035330689955
3.0,3.6178677824232413,4.219089039174323
4.0,3.6418043224680208,4.194589397247624
5.0,3.6653352639846766,4.178522302695636
6.0,3.6879857939797076,4.168391068104555
7.0,3.709555684294143,4.162558385286386
8.0,3.7299843243319013,4.159909650705344
9.0,3.7492835410873733,4.1596639277780705
10.0,3.767502117576434,4.161261106147732
11.0,3.7847064075322567,4.164291482733796
12.0,3.800969576377067,4.168450268262646
13.0,3.8163656356174673,4.173507353958881
14.0,3.830966205455512,4.179286734901903
15.0,3.84483885243041,4.185652214809905
16.0,3.85804634093501,4.192497294168701
17.0,3.8706464121546515,4.199737902237699
18.0,3.882691861521705,4.2073070977848825
19.0,3.894230778070547,4.215151155016703
20.0,3.9053068640466977,4.223226638495166
21.0,3.9159597862751236,4.231498193602868
22.0,3.9262255309585607,4.239936861034931
23.0,3.936136745899317,4.248518779351743
24.0,3.94572306166671,4.257224177865947
25.0,3.9550113878051523,4.2660365888166245
26.0,3.964026182916497,4.27494222663243
27.0,3.9727896990478313,4.283929495556808
28.0,3.9813222017036196,4.292988596639662
29.0,3.9896421672501954,4.302111212201
30.0,3.9977664596614177,4.3112902511015925
31.0,4.0057104885745165,4.3205196420410985
32.0,4.0134883505531,4.329794165014956
33.0,4.021112955332122,4.339109313257937
34.0,4.028596138674346,4.3484611796734765
35.0,4.035948763315266,4.357846363026556
36.0,4.043180809323515,4.367261890163886
37.0,4.05030145506158,4.376705151289179
38.0,4.057319149800387,4.386173845917603
39.0,4.064241678921561,4.395665937600732
40.0,4.071076222533669,4.405179615881905
41.0,4.07782940823262,4.414713264234047
42.0,4.084507358651028,4.424265432964179
43.0,4.0911157343659355,4.433834816255096
44.0,4.097659772667657,4.443420232663662
45.0,4.104144322633964,4.453020608516217
46.0,4.110573876902189,4.462634963738286
47.0,4.1169526004866235,4.472262399736102
48.0,4.123284356948715,4.481902089011263
49.0,4.12957273219261,4.491553266243484
50.0,4.135821056127868,4.501215220619477
51.0,4.142032422414069,4.510887289222186
52.0,4.148209706478357,4.520568851324118
53.0,4.154355581975824,4.530259323453086
54.0,4.1604725358443915,4.539958155119211
55.0,4.166562882089335,4.549664825109024
56.0,4.172628774418283,4.559378838266903
57.0,4.178672217834835,4.569099722695774
58.0,4.184695079287562,4.5788270273193605
59.0,4.190699097461217,4.58856031975649
60.0,4.196685891788157,4.598299184465253
61.0,4.202656970749972,4.608043221120755
62.0,4.208613739532467,4.617792043195472
63.0,4.214557507090781,4.62754527671539
64.0,4.2204894926759025,4.637302559168875
65.0,4.226410831868918,4.64706353854865
66.0,4.232322582164815,4.656827872509358
67.0,4.238225728143755,4.6665952276262965
68.0,4.244121186264148,4.676365278742049
69.0,4.250009809308651,4.686137708390272
70.0,4.255892390511403,4.695912206286521
71.0,4.261769667392203,4.705688468878179
72.0,4.267642325320981,4.715466198945711
73.0,4.273511000833923,4.72524510524924
74.0,4.279376284720673,4.735024902214448
75.0,4.2852387249002835,4.744805309653509
76.0,4.291098829102183,4.754586052516179
77.0,4.296957067366929,4.764366860667869
78.0,4.302813874380322,4.774147468691021
79.0,4.308669651653243,4.783927615707262
80.0,4.314524769558684,4.793707045217678
81.0,4.320379569236334,4.803485504958924
82.0,4.326234364374351,4.813262746773533
83.0,4.332089442877127,4.823038526492459
84.0,4.337945068427158,4.832812603828439
85.0,4.343801481948498,4.84258474227908
86.0,4.349658902978614,4.852354709038139
87.0,4.355517530955102,4.862122274914336
88.0,4.361377546422972,4.871887214256601
89.0,4.367239112168045,4.881649304885088
90.0,4.3731023742813395,4.891408328027192
91.0,4.378967463159164,4.901164068258069
92.0,4.384834494443094,4.91091631344494
93.0,4.390703569903919,4.920664854694908
94.0,4.396574778273048,4.930409486305756
95.0,4.402448196024972,4.940150005719483
96.0,4.408323888113816,4.949886213477994
97.0,4.4142019086668975,4.959617913181009
